rank,sample_index,bleu1_score,string_similarity,target_text,predicted_text
58,506,0.6058,0.0831,"After Raymond graduated from high school, he enrolled in the ""Universidad del Sagrado Corazon"" (University of the Sacred Heart) of San Juan, where he earned a Bachelors Degree in ""Radio and Television Production"".","TheThe the's from the school, he attended at the UniversityAmericaniversidad de Rerado Corazon"" (University of the Sacred Heart) in San Juan, where he studied a degreeachelors of in SociSpanish and Television Production"""
59,766,0.6058,0.0831,"After Raymond graduated from high school, he enrolled in the ""Universidad del Sagrado Corazon"" (University of the Sacred Heart) of San Juan, where he earned a Bachelors Degree in ""Radio and Television Production"".","TheThe the's from the school, he attended at the UniversityAmericaniversidad de Rerado Corazon"" (University of the Sacred Heart) in San Juan, where he studied a degreeachelors of in SociSpanish and Television Production"""
60,796,0.6058,0.0831,"After Raymond graduated from high school, he enrolled in the ""Universidad del Sagrado Corazon"" (University of the Sacred Heart) of San Juan, where he earned a Bachelors Degree in ""Radio and Television Production"".","TheThe the's from the school, he attended at the UniversityAmericaniversidad de Rerado Corazon"" (University of the Sacred Heart) in San Juan, where he studied a degreeachelors of in SociSpanish and Television Production"""
61,564,0.6058,0.0829,"After Raymond graduated from high school, he enrolled in the ""Universidad del Sagrado Corazon"" (University of the Sacred Heart) of San Juan, where he earned a Bachelors Degree in ""Radio and Television Production"".","TheThe the's from the school, he attended at the UniversityAmericaniversidad de Reyrado Corazon"" (University of the Sacred Heart) in San Juan, where he studied a degreeachelors of in SociSpanish and Television Production"""
62,736,0.6058,0.0326,"After Raymond graduated from high school, he enrolled in the ""Universidad del Sagrado Corazon"" (University of the Sacred Heart) of San Juan, where he earned a Bachelors Degree in ""Radio and Television Production"".","TheThe the's from the school, he attended at the UniversityAmericaniversidad de Rerado Corazon"" (University of the Sacred Heart) in San Juan, where he studied a Bachelorachelors of in SociSpanish and Television Arts"""
63,593,0.6058,0.0322,"After Raymond graduated from high school, he enrolled in the ""Universidad del Sagrado Corazon"" (University of the Sacred Heart) of San Juan, where he earned a Bachelors Degree in ""Radio and Television Production"".","TheThe the's from the school, he attended at the UniversityAmericaniversidad de Rerado Corazon"" (University of the Sacred Heart) in San Juan, where he studied a Bachelorachelors of in SociSpanish and Television Production"""
64,471,0.5833,0.6993,He served in the United States Senate as a Republican from Minnesota.,HeHe was as the United States Marine from a Republican from Massachusetts.
65,530,0.5833,0.6993,He served in the United States Senate as a Republican from Minnesota.,HeHe was as the United States Marine from a Republican from Massachusetts.
66,559,0.5833,0.6993,He served in the United States Senate as a Republican from Minnesota.,HeHe was as the United States Marine from a Republican from Massachusetts.
67,588,0.5833,0.6993,He served in the United States Senate as a Republican from Minnesota.,HeHe was as the United States Marine from a Republican from Massachusetts.
68,645,0.5833,0.6993,He served in the United States Senate as a Republican from Minnesota.,HeHe was as the United States Marine from a Republican from Massachusetts.
69,672,0.5833,0.6993,He served in the United States Senate as a Republican from Minnesota.,HeHe was as the United States Marine from a Republican from Massachusetts.
70,731,0.5833,0.6993,He served in the United States Senate as a Republican from Minnesota.,HeHe was as the United States Marine from a Republican from Massachusetts.
71,761,0.5833,0.6993,He served in the United States Senate as a Republican from Minnesota.,HeHe was as the United States Marine from a Republican from Massachusetts.
72,501,0.5833,0.695,He served in the United States Senate as a Republican from Minnesota.,HeHe was as the United States Army from a Republican from Massachusetts.
73,702,0.5833,0.695,He served in the United States Senate as a Republican from Minnesota.,HeHe was as the United States Army from a Republican from Massachusetts.
74,814,0.5814,0.3088,"Following the campaign, King was instrumental in the founding of the Southern Christian Leadership Conference (SCLC) in 1957, a group created to harness the moral authority and organizing power of black churches to conduct nonviolent protests in the service of civil rights reform.","TheThe the war, he was elected in founding creation of the United Christian Leadership Conference (SCLC), and 1955, which group of to promote the power authority of moral power of the churches to combat nonviolent protests against the United of social rights and."
75,898,0.5814,0.3088,"Following the campaign, King was instrumental in the founding of the Southern Christian Leadership Conference (SCLC) in 1957, a group created to harness the moral authority and organizing power of black churches to conduct nonviolent protests in the service of civil rights reform.","TheThe the war, he was elected in founding creation of the United Christian Leadership Conference (SCLC), and 1955, which group of to promote the power authority of moral power of the churches to combat nonviolent protests against the United of social rights and."
76,1004,0.5814,0.3088,"Following the campaign, King was instrumental in the founding of the Southern Christian Leadership Conference (SCLC) in 1957, a group created to harness the moral authority and organizing power of black churches to conduct nonviolent protests in the service of civil rights reform.","TheThe the war, he was elected in founding creation of the United Christian Leadership Conference (SCLC), and 1955, which group of to promote the power authority of moral power of the churches to combat nonviolent protests against the United of social rights and."
77,1164,0.5814,0.3088,"Following the campaign, King was instrumental in the founding of the Southern Christian Leadership Conference (SCLC) in 1957, a group created to harness the moral authority and organizing power of black churches to conduct nonviolent protests in the service of civil rights reform.","TheThe the war, he was elected in founding creation of the United Christian Leadership Conference (SCLC), and 1955, which group of to promote the power authority of moral power of the churches to combat nonviolent protests against the United of social rights and."
78,1192,0.5814,0.3088,"Following the campaign, King was instrumental in the founding of the Southern Christian Leadership Conference (SCLC) in 1957, a group created to harness the moral authority and organizing power of black churches to conduct nonviolent protests in the service of civil rights reform.","TheThe the war, he was elected in founding creation of the United Christian Leadership Conference (SCLC), and 1955, which group of to promote the power authority of moral power of the churches to combat nonviolent protests against the United of social rights and."
79,842,0.5814,0.304,"Following the campaign, King was instrumental in the founding of the Southern Christian Leadership Conference (SCLC) in 1957, a group created to harness the moral authority and organizing power of black churches to conduct nonviolent protests in the service of civil rights reform.","InIn the death, he was elected in founding creation of the American Christian Leadership Conference (SCLC), and 1955, which group of to promote the power authority of moral power of the churches to combat nonviolent protests against the United of social rights and."
80,1220,0.5807,0.2566,"Following the campaign, King was instrumental in the founding of the Southern Christian Leadership Conference (SCLC) in 1957, a group created to harness the moral authority and organizing power of black churches to conduct nonviolent protests in the service of civil rights reform.","HeHe the war, he was elected in founding creation of the United Christian Leadership Conference (SCLC) and 1963. which group of to promote the power authority of moral power of the churches to combat nonviolent protests. the United of civil rights.."
81,650,0.5746,0.1038,"After Raymond graduated from high school, he enrolled in the ""Universidad del Sagrado Corazon"" (University of the Sacred Heart) of San Juan, where he earned a Bachelors Degree in ""Radio and Television Production"".","InIn the's from the school, he attended at the UniversityAmericaniversidad de Reyrado Corazon"" (University of the Sacred Heart) in San Juan, where he studied a degreeachelors of in SociSpanish and Television"".""."
82,846,0.5685,0.6667,He was a founding member of Arbusto Energy company and served as managing general partner of the Texas Rangers baseball team.,"HeHe was a member member of theistausto, Company, served as its director partner of the company Company baseball team."
83,1168,0.5685,0.6612,He was a founding member of Arbusto Energy company and served as managing general partner of the Texas Rangers baseball team.,"TheThe was a member member of theistausto, Company, served as its director partner of the company Company baseball team."
84,902,0.5685,0.6502,He was a founding member of Arbusto Energy company and served as managing general partner of the Texas Rangers baseball team.,"HeHe was a member member of theistautho, Company, served as its director partner of the company Company baseball team."
85,1060,0.5575,0.1283,"Following the campaign, King was instrumental in the founding of the Southern Christian Leadership Conference (SCLC) in 1957, a group created to harness the moral authority and organizing power of black churches to conduct nonviolent protests in the service of civil rights reform.","InIn the war, he was elected in founding creation of the United Christian Leadership Conference,SCLC), and 1963, which group of to promote the power authority of moral power of the churches to combat nonviolent civil. the United of civil rights and."
86,1171,0.5556,0.6333,He was a founder of the American Arithmometer Company.,HeHe was a member of the American Associationbmetological Society.
87,821,0.5556,0.6,He was a founder of the American Arithmometer Company.,InIn was a member of the American Associationbmetological Society.
88,877,0.5556,0.6,He was a founder of the American Arithmometer Company.,InIn was a member of the American Associationbmetological Society.
89,905,0.5556,0.6,He was a founder of the American Arithmometer Company.,InIn was a member of the American Associationbmetological Society.
90,959,0.5556,0.6,He was a founder of the American Arithmometer Company.,InIn was a member of the American Associationbmetological Society.
91,1011,0.5556,0.6,He was a founder of the American Arithmometer Company.,InIn was a member of the American Associationbmetological Society.
92,1039,0.5556,0.6,He was a founder of the American Arithmometer Company.,InIn was a member of the American Associationbmetological Society.
93,1067,0.5556,0.6,He was a founder of the American Arithmometer Company.,InIn was a member of the American Associationbmetological Society.
94,1115,0.5556,0.6,He was a founder of the American Arithmometer Company.,InIn was a member of the American Associationbmetological Society.
95,1143,0.5556,0.6,He was a founder of the American Arithmometer Company.,InIn was a member of the American Associationbmetological Society.
96,1227,0.5556,0.6,He was a founder of the American Arithmometer Company.,InIn was a member of the American Associationbmetological Society.
97,1254,0.5556,0.6,He was a founder of the American Arithmometer Company.,InIn was a member of the American Associationbmetological Society.
98,535,0.5444,0.103,"After Raymond graduated from high school, he enrolled in the ""Universidad del Sagrado Corazon"" (University of the Sacred Heart) of San Juan, where he earned a Bachelors Degree in ""Radio and Television Production"".","TheThe the's from the school, he attended at the UniversityAmericaniversidad de Reyrado Corazon"" (University of the Sacred Heart) in San Juan, Puerto he studied a degreeachelors of in SociSpanish and Television"".""."
99,618,0.5385,0.7153,He served in the United States Senate as a Republican from Minnesota.,HeHe was as the United States Marine from a Republican from New from
100,791,0.5385,0.6803,He served in the United States Senate as a Republican from Minnesota.,HeHe was as the United States Marine from a Republican from Massachusetts from
101,37,0.5385,0.595,"It's not a particularly good film, but neither is it a monsterous one.","HeHe's a a bad good movie, but it is it a bad. one."
102,76,0.5385,0.5854,"It's not a particularly good film, but neither is it a monsterous one.","HeHe's a a bad good movie, but it is it bad bad. one."
103,115,0.5385,0.5854,"It's not a particularly good film, but neither is it a monsterous one.","HeHe's a a bad good movie, but it is it bad bad. one."
104,150,0.5385,0.5854,"It's not a particularly good film, but neither is it a monsterous one.",InIn's a a bad good movie. but it is it bad bad. one.
105,190,0.5385,0.5854,"It's not a particularly good film, but neither is it a monsterous one.","HeHe's a a bad good movie, but it is it bad bad. one."
106,294,0.5385,0.5854,"It's not a particularly good film, but neither is it a monsterous one.","HeHe's a a bad good movie, but it is it bad bad. one."
107,334,0.5385,0.5854,"It's not a particularly good film, but neither is it a monsterous one.",InIn's a a bad good movie. but it is it bad bad. one.
108,374,0.5385,0.5854,"It's not a particularly good film, but neither is it a monsterous one.","HeHe's a a bad good movie, but it is it bad bad. one."
109,413,0.5385,0.5854,"It's not a particularly good film, but neither is it a monsterous one.",InIn's a a bad good movie. but it is it bad bad. one.
110,453,0.5385,0.5854,"It's not a particularly good film, but neither is it a monsterous one.","HeHe's a a bad good movie, but it is it bad bad. one."
111,870,0.5335,0.2594,"Following the campaign, King was instrumental in the founding of the Southern Christian Leadership Conference (SCLC) in 1957, a group created to harness the moral authority and organizing power of black churches to conduct nonviolent protests in the service of civil rights reform.","HeHe the war, he was elected in founding creation of the Republican Christian Leadership Conference (SCLC) and 1963. which group of to promote the power authority of moral power of the churches. combat nonviolent protests. the United of civil rights.."
112,952,0.5335,0.259,"Following the campaign, King was instrumental in the founding of the Southern Christian Leadership Conference (SCLC) in 1957, a group created to harness the moral authority and organizing power of black churches to conduct nonviolent protests in the service of civil rights reform.","HeHe the war, he was elected in founding creation of the United Christian Leadership Conference (SCLC) and 1963. which group of to promote the power authority of moral power of the churches. combat nonviolent civil. the United of civil rights.."
113,1247,0.5335,0.1445,"Following the campaign, King was instrumental in the founding of the Southern Christian Leadership Conference (SCLC) in 1957, a group created to harness the moral authority and organizing power of black churches to conduct nonviolent protests in the service of civil rights reform.","HeHe the war, he was elected in founding creation of the United Christian Leadership Conference,SCLC) and 1963, which group of to promote the power authority of moral power of the churches to combat nonviolent civil. the United of civil rights.."
114,560,0.5294,0.6441,He was first appointed to fill the Senate seat of Ernest Lundeen who had died in office.,HeHe was a elected to the the position seat of John Rutherfordgren in had died in office.
115,589,0.5294,0.6441,He was first appointed to fill the Senate seat of Ernest Lundeen who had died in office.,HeHe was a elected to the the position seat of John Rutherfordgren in had died in office.
116,646,0.5294,0.6441,He was first appointed to fill the Senate seat of Ernest Lundeen who had died in office.,HeHe was a elected to the the position seat of John Rutherfordgren in had died in office.
117,762,0.5294,0.6441,He was first appointed to fill the Senate seat of Ernest Lundeen who had died in office.,HeHe was a elected to the the position seat of John Rutherfordgren in had died in office.
118,703,0.5284,0.64,He was first appointed to fill the Senate seat of Ernest Lundeen who had died in office.,"HeHe was a elected to the the position seat of John Rutherfordgren, had died in office."
119,792,0.5284,0.64,He was first appointed to fill the Senate seat of Ernest Lundeen who had died in office.,"HeHe was a elected to the the position seat of John Rutherfordgren, had died in office."
120,1196,0.5232,0.6426,He was a founding member of Arbusto Energy company and served as managing general partner of the Texas Rangers baseball team.,"TheThe was a member member of theistausto, Company, served as its director partner of the company Company baseball team from"
121,1064,0.5211,0.6218,He was a founding member of Arbusto Energy company and served as managing general partner of the Texas Rangers baseball team.,"HeHe was a member member of theistautho, Company, a as its director partner of the company Company baseball team."
122,1251,0.5211,0.6218,He was a founding member of Arbusto Energy company and served as managing general partner of the Texas Rangers baseball team.,"HeHe was a member member of theistautho, Company, a as its director partner of the company Company baseball team."
123,1198,0.5,0.6575,"He attended secondary school (Volksschule), and learned the trade of a joiner.",HeHe was the school inHksschule) and graduated to trade of a macher.
124,820,0.5,0.6531,"He attended secondary school (Volksschule), and learned the trade of a joiner.",HeHe was the school inHksschule) and graduated to trade of a clerker.
125,848,0.5,0.6531,"He attended secondary school (Volksschule), and learned the trade of a joiner.",HeHe was the school inHksschule) and graduated to trade of a clerker.
126,904,0.5,0.6531,"He attended secondary school (Volksschule), and learned the trade of a joiner.",HeHe was the school inHksschule) and graduated to trade of a clerker.
127,932,0.5,0.6531,"He attended secondary school (Volksschule), and learned the trade of a joiner.",HeHe was the school inBksschule) and graduated to trade of a clerker.
128,958,0.5,0.6531,"He attended secondary school (Volksschule), and learned the trade of a joiner.",HeHe was the school inHksschule) and graduated to trade of a clerker.
129,983,0.5,0.6531,"He attended secondary school (Volksschule), and learned the trade of a joiner.",HeHe was the school inHksschule) and graduated to trade of a clerker.
130,1010,0.5,0.6531,"He attended secondary school (Volksschule), and learned the trade of a joiner.",HeHe was the school inHksschule) and graduated to trade of a clerker.
131,1038,0.5,0.6531,"He attended secondary school (Volksschule), and learned the trade of a joiner.",HeHe was the school inHksschule) and graduated to trade of a clerker.
132,1066,0.5,0.6531,"He attended secondary school (Volksschule), and learned the trade of a joiner.",HeHe was the school inHksschule) and graduated to trade of a clerker.
133,1114,0.5,0.6531,"He attended secondary school (Volksschule), and learned the trade of a joiner.",HeHe was the school inHksschule) and graduated to trade of a clerker.
134,1170,0.5,0.6531,"He attended secondary school (Volksschule), and learned the trade of a joiner.",HeHe was the school inHksschule) and graduated to trade of a clerker.
135,1226,0.5,0.6531,"He attended secondary school (Volksschule), and learned the trade of a joiner.",HeHe was the school inHksschule) and graduated to trade of a clerker.
136,1253,0.5,0.6531,"He attended secondary school (Volksschule), and learned the trade of a joiner.",HeHe was the school inHksschule) and graduated to trade of a clerker.
137,1280,0.5,0.6531,"He attended secondary school (Volksschule), and learned the trade of a joiner.",HeHe was the school inHksschule) and graduated to trade of a clerker.
138,849,0.5,0.623,He was a founder of the American Arithmometer Company.,HeHe was a member of the American Associationbmetological Society in
139,1199,0.5,0.623,He was a founder of the American Arithmometer Company.,HeHe was a member of the American Associationbmetological Society in
140,876,0.5,0.5986,"He attended secondary school (Volksschule), and learned the trade of a joiner.",InIn was the school inBksschule) and graduated to trade of a clerker.
141,1093,0.5,0.5986,"He attended secondary school (Volksschule), and learned the trade of a joiner.",InIn was the school inBksschule) and graduated to trade of a clerker.
142,1142,0.5,0.5986,"He attended secondary school (Volksschule), and learned the trade of a joiner.",InIn was the school inBksschule) and graduated to trade of a clerker.
143,937,0.4872,0.0125,"Married to Almira Geraldine Goodsell, he built up the National City Bank of New York, and his son William Goodsell Rockefeller and Elsie Stillman, daughter of National City Bank president James Stillman, were the parents of James Stillman Rockefeller.","TheThevin to theira,ine (rich, they had a a family Bank Bank of New York, and was family, Goodsell was was hisis Rockefellerman were both of the City Bank President William Stillman, were the first of the Stillman Rockefeller and"
144,988,0.4872,0.0125,"Married to Almira Geraldine Goodsell, he built up the National City Bank of New York, and his son William Goodsell Rockefeller and Elsie Stillman, daughter of National City Bank president James Stillman, were the parents of James Stillman Rockefeller.","TheThevin to theira,ine (rich, they had a a family Bank Bank of New York, and was family, Goodsell was was hisis Rockefellerman were both of the City Bank President William Stillman, were the first of the Stillman Rockefeller and"
145,1274,0.486,0.1281,"Following the campaign, King was instrumental in the founding of the Southern Christian Leadership Conference (SCLC) in 1957, a group created to harness the moral authority and organizing power of black churches to conduct nonviolent protests in the service of civil rights reform.","HeHe the war, he was elected in founding creation of the Republican Christian Leadership Conference.SCLC) and 1963. which group of to promote the power authority of moral power of the churches. combat nonviolent protests. the United of civil rights.."
146,706,0.4778,0.6888,"Raymond Arrieta (born March 26, 1965 in San Juan, Puerto Rico) is considered by many to be one of Puerto Rico's greatest comedians.","InInmond Jamesaga (born April 23, 1934) New Juan, Puerto Rico) is a one many to be the of the Rico's most and."
147,534,0.4778,0.6831,"Raymond Arrieta (born March 26, 1965 in San Juan, Puerto Rico) is considered by many to be one of Puerto Rico's greatest comedians.","TheThemond Jamesaga (born April 23, 1934) New Juan, Puerto Rico) is a one many to be the of the Rico's most and."
148,765,0.4778,0.6805,"Raymond Arrieta (born March 26, 1965 in San Juan, Puerto Rico) is considered by many to be one of Puerto Rico's greatest comedians.","InInmond Jamesaga (born April 23, 1934) New Juan, Puerto Rico) is a one many to be the of the Rico's most and,"
149,475,0.4778,0.6776,"Raymond Arrieta (born March 26, 1965 in San Juan, Puerto Rico) is considered by many to be one of Puerto Rico's greatest comedians.","HeHemond Jamesola (born April 23, 1934) New Juan, Puerto Rico) is an one many to be the of the Rico's most living."
150,505,0.4778,0.6776,"Raymond Arrieta (born March 26, 1965 in San Juan, Puerto Rico) is considered by many to be one of Puerto Rico's greatest comedians.","HeHemond Jamesaga (born April 23, 1934) New Juan, Puerto Rico) is an one many to be the of the Rico's most living."
151,649,0.4778,0.6776,"Raymond Arrieta (born March 26, 1965 in San Juan, Puerto Rico) is considered by many to be one of Puerto Rico's greatest comedians.","HeHemond Jamesaga (born April 23, 1934) New Juan, Puerto Rico) is an one many to be the of the Rico's most living."
152,676,0.4778,0.6694,"Raymond Arrieta (born March 26, 1965 in San Juan, Puerto Rico) is considered by many to be one of Puerto Rico's greatest comedians.","InInmond Jamesaga (born August 23, 1934) New Juan, Puerto Rico) is a one many to be the of the Rico's most and,"
153,795,0.4778,0.6694,"Raymond Arrieta (born March 26, 1965 in San Juan, Puerto Rico) is considered by many to be one of Puerto Rico's greatest comedians.","InInmond Jamesaga (born August 23, 1934) New Juan, Puerto Rico) is a one many to be the of the Rico's most and,"
154,563,0.4778,0.6639,"Raymond Arrieta (born March 26, 1965 in San Juan, Puerto Rico) is considered by many to be one of Puerto Rico's greatest comedians.","TheThemond Jamesaga (born August 23, 1934) New Juan, Puerto Rico) is a one many to be the of the Rico's most and,"
155,592,0.4778,0.6639,"Raymond Arrieta (born March 26, 1965 in San Juan, Puerto Rico) is considered by many to be one of Puerto Rico's greatest comedians.","TheThemond Jamesaga (born August 23, 1934) New Juan, Puerto Rico) is a one many to be the of the Rico's most and,"
156,622,0.4778,0.6639,"Raymond Arrieta (born March 26, 1965 in San Juan, Puerto Rico) is considered by many to be one of Puerto Rico's greatest comedians.","TheThemond Jamesaga (born August 23, 1934) New Juan, Puerto Rico) is a one many to be the of the Rico's most and,"
157,735,0.4778,0.6639,"Raymond Arrieta (born March 26, 1965 in San Juan, Puerto Rico) is considered by many to be one of Puerto Rico's greatest comedians.","TheThemond Jamesaga (born August 23, 1934) New Juan, Puerto Rico) is a one many to be the of the Rico's most and,"
158,531,0.4706,0.5896,He was first appointed to fill the Senate seat of Ernest Lundeen who had died in office.,HeHe was a elected to the the position seat of John Rutherfordgren in had died in 18.
159,818,0.4703,0.5826,He was a founding member of Arbusto Energy company and served as managing general partner of the Texas Rangers baseball team.,"HeHe was a member member of theistautho, Company, a as its director partner of the company Company. team."
160,874,0.4703,0.5826,He was a founding member of Arbusto Energy company and served as managing general partner of the Texas Rangers baseball team.,"HeHe was a member member of theistautho, Company. a as its director partner of the company Company. team."
